1/10/2024,6:05 AM,AM,"Home Depot Store Support, Inc.",2685,METHUEN,MA,266094304,"due to rain, snow fell off our roof last night on the back of our building. Currently a bunch of snow on the ground at the back of our building",Work Summary: Crew came by to clean the snow piles and slush that fell off the roof behind the store today. Now the team can more easily load/offload trucks. ,CHRISTIEN BURKE,TRUE,
1/10/2024,8:05 PM,PM,"Home Depot Store Support, Inc.",2401,PORTLAND,ME,266156105,Need salt in parking lot,complete,MARC COCHRAN,TRUE,
1/10/2024,11:04 PM,PM,"Home Depot Store Support, Inc.",8456,HAWTHORNE,NY,266159825,Need to have the lot salted.  There is a lot of standing water that is freezing over.,completye ,Dominick Matra,TRUE,
1/11/2024,5:08 AM,AM,"Home Depot Store Support, Inc.",2403,AUBURN,ME,266185274,parking lot needs salting,complete ,NEIL BEAULIEU,TRUE,
1/11/2024,7:45 AM,AM,"Home Depot Store Support, Inc.",1231,WEST SENECA,NY,266189526,Parking lot is starting to become slippery from ice. Requesting a the parking lot to be salted.,complete,ALBERT LEWIS,TRUE,
1/11/2024,7:46 AM,AM,"Home Depot Store Support, Inc.",2409,ROCKLAND,ME,266189554,N/A,everything is fine at site no work needed ,WAYNE PATTON,FALSE,
1/11/2024,8:02 AM,AM,"Home Depot Store Support, Inc.",2409,ROCKLAND,ME,266190181,William Patteon/SM/ called in to place a WO because the parking lot is too icy and need to salt it.,site was treated at 630am today ,William Patteon/SM/,FALSE,
1/11/2024,9:37 AM,AM,"Home Depot Store Support, Inc.",2410,TOPSHAM,ME,266196828,Ice build up i parking lot and back lumber store pad. Need salt asap!!,complete,MELLISSA Tirrell,TRUE,
1/12/2024,4:50 AM,AM,"Home Depot Store Support, Inc.",4501,WILLISTON,VT,266312645,Jane/Manager/Ext.501 calling to have the snow removal and salt,complete,Jane D/Manager/Ext.501,FALSE,
1/12/2024,5:08 AM,AM,"Home Depot Store Support, Inc.",6168,BATAVIA,NY,266312900,N/A,completed,STEPHEN KASPER,TRUE,
1/12/2024,5:56 AM,AM,"Home Depot Store Support, Inc.",1231,WEST SENECA,NY,266313652,Parking lot is a sheet of ice. Requesting a salt truck to salt the parking lot,"Crew was onsite this morning and checked into monthly PM, need to wait for traffic and sun to help activate with current low temps. Photos loaded on PM.",ALBERT LEWIS Phone# 7166777445,FALSE,
1/12/2024,6:05 AM,AM,"Home Depot Store Support, Inc.",4502,RUTLAND,VT,266313832,Parking lot is Icy and needs to be salted,Work Summary: Salted entire lot for refreeze ,JENNY BATES,TRUE,
